platform,product_id,old_quantity,new_quantity,difference,run_timestamp,stock_AS-PL,stock_Abakus,stock_Airstal,stock_JPGROUP,stock_NTY,stock_Storm,stock_eminia trading
TIELEHABERDER,20026,3,114,111,20250811_165946,0,0,0,0,0,114,0
TIELEHABERDER,20051,3,1,-2,20250811_165946,0,0,0,0,0,1,0
TIELEHABERDER,23025,3,88,85,20250811_165946,0,0,0,0,0,88,0
TIELEHABERDER,26027,3,67,64,20250811_165946,0,0,0,0,0,67,0
TIELEHABERDER,28575,3,2,-1,20250811_165946,0,0,0,0,0,2,0
TIELEHABERDER,28584,3,17,14,20250811_165946,0,0,0,0,0,17,0
TIELEHABERDER,28683,3,6,3,20250811_165946,0,0,0,0,0,6,0
TIELEHABERDER,29003,3,28,25,20250811_165946,0,0,0,0,0,28,0
TIELEHABERDER,61020,3,9,6,20250811_165946,0,0,0,0,0,9,0
TIELEHABERDER,61021,3,52,49,20250811_165946,0,0,0,0,0,52,0
TIELEHABERDER,61024,3,18,15,20250811_165946,0,0,0,0,0,18,0
TIELEHABERDER,61025,3,16,13,20250811_165946,0,0,0,0,0,16,0
TIELEHABERDER,61043,3,13,10,20250811_165946,0,0,0,0,0,13,0
TIELEHABERDER,61081,3,6,3,20250811_165946,0,0,0,0,0,6,0
TIELEHABERDER,61082,3,7,4,20250811_165946,0,0,0,0,0,7,0
TIELEHABERDER,88015,3,76,73,20250811_165946,0,0,0,0,0,76,0
TIELEHABERDER,91051,3,1,-2,20250811_165946,0,0,0,0,0,1,0
TIELEHABERDER,97172,3,17,14,20250811_165946,0,0,0,0,0,17,0
TIELEHABERDER,97176,3,12,9,20250811_165946,0,0,0,0,0,12,0
TIELEHABERDER,A0644S,8,7,-1,20250811_165946,7,0,0,0,0,0,0
TIELEHABERDER,A0819S,3,10,7,20250811_165946,10,0,0,0,0,0,0
TIELEHABERDER,A1073S,0,2,2,20250811_165946,2,0,0,0,0,0,0
TIELEHABERDER,A2130S,3,10,7,20250811_165946,10,0,0,0,0,0,0
TIELEHABERDER,A3382S,7,6,-1,20250811_165946,6,0,0,0,0,0,0
TIELEHABERDER,A3597S,7,8,1,20250811_165946,8,0,0,0,0,0,0
TIELEHABERDER,A3612S,0,10,10,20250811_165946,10,0,0,0,0,0,0
TIELEHABERDER,A5123,0,10,10,20250811_165946,10,0,0,0,0,0,0
TIELEHABERDER,A5537S,4,3,-1,20250811_165946,3,0,0,0,0,0,0
TIELEHABERDER,A6711S,5,4,-1,20250811_165946,4,0,0,0,0,0,0
TIELEHABERDER,A9097MANDO,1,0,-1,20250811_165946,0,0,0,0,0,0,0
TIELEHABERDER,BM80249H,3,1,-2,20250811_165946,0,0,0,0,0,1,0
TIELEHABERDER,BM80411H,3,1,-2,20250811_165946,0,0,0,0,0,1,0
TIELEHABERDER,NOX9007,1,2,1,20250811_165946,2,0,0,0,0,0,0
TIELEHABERDER,S0737S,8,7,-1,20250811_165946,7,0,0,0,0,0,0
